超级偏大,这款衣服超级严重偏大
挺好,整体都挺好，就是我太瘦，所以衣服稍显偏宽松，身高一米八，体重70左右的话，M码正好
性价比很高,质量不错的一款经典短T
Swiss Blue款色差很大,衣服用料很好，172买的M号太大了，而且色差也很大
合适,174高，71公斤穿着大小合适，衣服不错
颜色比图片的浅,颜色比图片上的浅，169，65kg，s，感觉有点修身
性价比极高,粗线织布，所以有些粗糙，建议买大一码宽松些就不磨皮肤啦
有点小,看评论都说偏大，结果孩子170，62公斤买的小号，感觉有点小了。
选了最小码 很舒服 买的很值。
劝大家不要买,货刚刚发走，就降价一百多，完全垃圾的品牌，简直是欺骗消费者
这个价买个C标,还行 美货也就那样了 Champion算好的了
尺寸描述太不准确！严重误导买家！,尺寸对照表描述太不准确！严重误导买家！
下摆过/长,下摆太长买，买这个就想点，早知如此就不下单了
不错，,175cm75kg 穿着稍微小些，面料，做工都不错。
衣服尺码比一般的大,我身高一米七三，体重七五公斤，L码的显得太大了
领圈有点小，会勒脖子。,勒脖子啊，领圈有点小。
偏大注意,我161cm 87斤 s可以当裙子穿，穿个牌子而已，还不错
还可以哦,比国内码大一码，纯棉穿的很舒服，肩部刚好，下摆有点长，还是不错的。买了几种颜色换着穿
还不错,挺合适的，便宜
太大了,太大了，整整大了一个号都不止，没法穿啊
失望,和标示的码数完全不符，偏大2码以上，大家慎入
A,我一七五折67公斤稍大
My Review,面料舒适，大小合身，性价比很高，海淘物流速度也没得说，好评！
没想到这里也是劣质品成堆,领口太小了，衣服面料很差劲，不联系，购买
色差大,色差好大…没有
还可以哦,比国内码大一码，纯棉穿的很舒服，肩部刚好，下摆有点长，还是不错的。买了几种颜色换着穿
很不错,不错 料子比某宝好太多 踩过太多坑了
便宜实用,家居用，大小不是重点，质地舒服，比睡衣好穿。
太大,号码太大了，比国内同码数要大两号
尺码太大,同样的尺码XL，这件太大了！直接穿不上
尺码偏大,尺码偏大，平时xl，这次买的xl大很多。
送给朋友的,稍微有点大 比平时穿的再选小一码吧 比较合适
好看的不要不要的,下摆有点偏长，不过是真的好看
颜色美 很清爽,颜色美 看起来就清爽也很舒服 好评
感觉还可以,不透，还没穿。样子宽松
不错的 非常合适的,可以的 非常合适的 很喜欢
凑单买的,质量还可以。第一次洗时有点掉色
还不错,郁闷，买大了一号不过也能穿，衣服还是不错的。
尺码不对,不对不对
有点长,衣服长了不适合亚洲人的版型，身高172体重160穿m码大小合适长2CM左右
外套,比较厚实，适合北方穿着。
不偏码,185,92.5KG，L码合身，不偏码。布料舒适。
舒适,很好，每年都买几件。
版型,版型很奇怪，太长了
很舒服 就是邮寄速度慢了点,老公说很舒服邮寄有点慢
尺码稍微大一点点,还不错
太大了,质量不错！但是！真的！太大了！老公173、155斤买的M居然打得完全不能穿
好,好吧一起吃饭一起睡觉一起吃饭
买大了一号,我身高180CM，体重88KG，穿L号大了，肩膀处大了撑不开，本人肩膀还算宽的，应该买小一号，供各位参考，另外这款衣服做工细节啥的一般只能这么说！
物有所值,还行吧！穿着挺舒服，就是很薄....估计也就穿一个夏天了！
刚收到货，很合身,很好，合适，愉快的一次网购！
太长了。,版型不太好，有点窄，但是衣服特别长！
